X31,X33,X34,X35,X36,Rc
6.301,3.162,0.365,1.93,0.855,0.93
6.102,2.685,0.587,0.95,0.749,0.94
5.623,2.746,1.355,1.55,0.613,0.805
4.582,2.651,0.586,1.61,1.098,0.9
4.243,2.443,1.081,1.42,0.977,0.8375
5.685,4.652,1.642,1.56,0.498,0.9
5.613,3.156,0.953,1.35,0.546,0.781
4.823,2.641,1.553,1.2,0.563,0.862
6.052,2.643,1.261,1.64,0.874,0.756
5.156,2.146,1.095,0.98,0.697,0.882
5.611,2.655,1.211,0.99,0.757,0.88
5.364,2.685,0.822,1.57,0.582,0.94
5.623,2.342,1.355,1.67,0.453,0.87
5.192,2.651,0.755,1.61,0.482,0.91
4.243,2.575,1.081,1.55,0.977,0.85
4.268,2.453,0.954,1.56,0.458,0.87
5.025,1.255,0.953,1.35,0.842,0.781
5.368,3.452,1.553,1.65,0.563,0.895
5.056,2.643,0.753,1.64,0.874,0.837
4.941,2.785,1.51,0.89,0.458,0.857
5.258,3.124,0.243,1.55,0.855,0.93
6.23,2.685,0.587,1.01,0.587,0.945
5.611,3.124,0.457,1.25,0.613,0.805
5.682,2.651,0.586,1.03,0.925,0.839
4.542,2.452,0.656,1.73,0.977,0.8375
5.61,3.241,0.835,1.56,0.735,0.879
5.366,3.156,0.672,1.25,0.546,0.781
5.23,2.641,1.221,1.32,0.381,0.862
4.989,2.658,0.574,1.64,0.874,0.756
5.632,2.574,0.689,0.78,0.697,0.882
5.456,2.485,0.782,0.99,0.754,0.958
5.258,2.685,0.822,1.57,0.582,0.897
5.623,3.013,1.355,1.23,0.568,0.982
5.192,2.457,0.755,1.61,0.835,0.795
5.032,2.575,1.214,1.58,0.977,0.85
4.268,2.538,0.785,1.56,0.678,0.725
5.259,2.135,0.587,1.36,0.842,0.781
5.368,2.745,1.245,1.65,0.563,0.895
5.148,2.643,0.746,1.64,0.874,0.894
5.035,2.453,1.231,1.25,0.782,0.983
5.625,2.505,1.023,1.45,0.626,0.885
5.5,2.376,1.458,1.66,0.536,0.89
5.951,2.342,1.866,1.54,0.747,0.869
5.632,2.154,1.255,1.49,0.512,0.87
5.706,2.413,0.655,1.64,0.644,0.91
5.55,2.297,1.036,1.33,0.585,0.901
5.492,2.546,1.211,1.52,0.548,0.887
5.726,2.238,1.109,1.33,0.566,0.867
6.252,2.554,1.202,1.55,0.476,0.885
5.5,2.643,1.433,1.25,0.533,0.89
5.784,2.347,1.242,1.33,0.636,0.857
5.446,2.395,1.434,1.27,0.652,0.87
6.156,2.146,1.095,1.12,0.697,0.852
5.611,2.355,1.211,0.99,0.757,0.88
5.364,2.685,1.263,1.57,0.582,0.923
5.623,2.342,1.355,1.45,0.455,0.897
5.892,2.451,1.755,1.61,0.482,0.915
5.766,2.575,1.081,1.55,0.977,0.858
5.65,2.453,0.954,1.56,0.458,0.87
5.745,2.255,1.254,1.35,0.842,0.881
5.568,3.052,1.553,1.65,0.763,0.895
7.056,2.643,1.284,1.64,0.874,0.937
5.941,2.785,1.51,1.54,0.458,0.857
5.258,2.108,1.476,1.55,0.847,0.93
6.23,2.685,0.887,1.01,0.587,0.905
5.611,3.124,0.957,1.25,0.613,0.855
5.682,2.651,0.586,1.03,0.925,0.889
6.542,2.452,1.356,0.99,0.946,0.898
5.61,2.241,0.835,1.56,0.735,0.879
6.366,3.156,0.672,1.25,0.646,0.911
7.23,2.641,1.221,1.32,0.381,0.892
5.989,2.658,1.574,1.64,0.874,0.928
5.632,2.574,1.389,0.78,0.677,0.882
5.51,2.815,1.262,1.69,0.774,0.856
5.784,2.378,1.033,1.27,0.682,0.8
5.846,2.442,1.267,1.29,0.568,0.881
6.156,2.554,1.584,1.31,0.865,0.895
6.611,2.413,1.195,1.48,0.937,0.837
5.864,2.497,1.239,1.59,0.878,0.757
5.623,2.746,1.463,1.66,0.742,0.93
6.892,2.138,1.375,1.65,0.563,0.913
5.766,2.554,1.755,1.12,0.879,0.805
7.25,2.843,1.761,1.25,0.682,0.879
5.745,2.347,0.967,1.35,0.686,0.875
5.568,2.595,1.355,1.26,0.636,0.779
7.356,2.835,1.732,1.34,0.747,0.781
5.941,2.578,1.281,1.49,0.812,0.892
6.258,2.482,0.998,1.64,0.785,0.756
